Origin,Dest,CRSDepTime,CRSArrTime,DepDelay,FlightDate,Distance,LateAircraftDelay,WeatherDelay,day,month,hour,OriginCity,temperature_c,precip_mm,cloud_pct,wind_speed_mps
LAX,ORD,700,1315,552.0,2025-01-27,1744.0,541.0,0.0,27,1,7,Los Angeles,7.2,0.0,57.0,5.0
DEN,SFO,600,750,33.0,2025-01-27,967.0,0.0,0.0,27,1,6,Denver,-16.0,0.0,0.0,3.6
EWR,IAH,1020,1333,100.0,2025-01-27,1400.0,0.0,0.0,27,1,10,New York,-2.1,0.0,0.0,4.7
EWR,SFO,1730,2045,161.0,2025-01-27,2565.0,129.0,0.0,27,1,17,New York,1.4,0.0,0.0,13.2
DEN,SFO,905,1056,75.0,2025-01-27,967.0,54.0,0.0,27,1,9,Denver,-14.7,0.0,0.0,5.9
ORD,OMA,2010,2153,93.0,2025-01-27,416.0,53.0,0.0,27,1,20,Chicago,2.4,0.0,100.0,24.0
DEN,MCO,1403,1940,128.0,2025-01-27,1546.0,0.0,0.0,27,1,14,Denver,-2.7,0.0,0.0,8.1
EWR,MIA,1030,1350,62.0,2025-01-27,1085.0,0.0,0.0,27,1,10,New York,-2.1,0.0,0.0,4.7
BOS,IAH,1630,2010,128.0,2025-01-27,1597.0,0.0,0.0,27,1,16,Boston,1.4,0.0,0.0,19.5
DEN,IAD,1351,1912,35.0,2025-01-27,1452.0,0.0,0.0,27,1,13,Denver,-6.5,0.0,0.0,7.9
DEN,GJT,1125,1233,84.0,2025-01-27,212.0,63.0,0.0,27,1,11,Denver,-12.9,0.0,0.0,7.2
IAH,HNL,930,1428,75.0,2025-01-27,3904.0,0.0,0.0,27,1,9,Houston,11.7,0.1,100.0,12.5
DEN,LAS,1744,1850,45.0,2025-01-27,628.0,29.0,0.0,27,1,17,Denver,4.3,0.0,0.0,0.2
IAH,FLL,1826,2200,78.0,2025-01-26,966.0,51.0,0.0,26,1,18,Houston,18.9,4.8,100.0,4.4
